,links2,brand_names,product_names,p_id,ratings,price,total_shades,total_reviews,loves,shades_names,img,hot_shade
251,https://www.sephora.com/product/le-rouge-couture-edition-P419505?icid2=products%20grid:p419505:product,GIVENCHY,Le Rouge - Couture Edition,P419505,5 stars,$38.00,1,8,3423,['315 Framboise Velours deep berry plum'],https://www.sephora.com/productimages/sku/s1938448-main-Lhero.jpg,['315 Framboise Velours deep berry plum']
252,https://www.sephora.com/product/two-tone-lipstick-P420661?icid2=products%20grid:p420661:product,LANEIGE,Two Tone Lipstick,P420661,3.5 stars,$27.00,8,56,13370,"['No.1 Magenta Muse Rosey Magenta', 'No.2 Red Blossom Light Rosey Pink', 'No.3 Pink Salmon Light Orange Pink', 'No.4 Milk Blurring Light Coral', 'No.7 Cashmere Nude Neutral Brown Pink', 'No.10 Burgundy Love Violet Berry', 'No.11 Juicy Pop Light Pink Coral and Yellow', 'No.14 Dear Pink Bright Rosey Pink']",https://www.sephora.com/productimages/sku/s1966183-main-Lhero.jpg,"['No.11 Juicy Pop Light Pink Coral and Yellow', 'No.4 Milk Blurring Light Coral', 'No.10 Burgundy Love Violet Berry']"
253,https://www.sephora.com/product/roadtrip-limited-edition-amuse-bouche-lipstick-collection-P444599?icid2=products%20grid:p444599:product,BITE BEAUTY,Roadtrip Limited Edition Amuse Bouche Lipstick Collection,P444599,No stars,$26.00,5,0,612,"['LOS ANGELES - COACHELLA beach bum beige', 'ATLANTA sweet peachy-pink', 'DALLAS larger-than-life berry', 'CHICAGO deep dish plum', 'NEW YORK big apple red']",https://www.sephora.com/productimages/sku/s2234235-main-Lhero.jpg,"['LOS ANGELES - COACHELLA beach bum beige', 'ATLANTA sweet peachy-pink']"
254,https://www.sephora.com/product/carryon-lip-cheek-gel-P411528?icid2=products%20grid:p411528:product,WANDER BEAUTY,Carryon Lip and Cheek Gel,P411528,4.5 stars,$22.00,3,24,4497,"['Island Hop bright pink', 'Madisoness nude', 'Tinseltown rosy red']",https://www.sephora.com/productimages/sku/s1856814-main-Lhero.jpg,['Tinseltown rosy red']
255,https://www.sephora.com/product/paint-wash-liquid-lip-colour-P392431?icid2=products%20grid:p392431:product,LAURA MERCIER,Paint Wash Liquid Lip Colour,P392431,4 stars,$28.00,9,164,13999,"['Golden Peach', 'Petal Pink', 'Coral Reef', 'Nude Rose', 'Rosewood', 'Vermillion Red', 'Red Brick', 'Orchid Pink', 'Fuchsia Mauve']",https://www.sephora.com/productimages/sku/s1677459-main-Lhero.jpg,"['Nude Rose', 'Golden Peach', 'Coral Reef']"
256,https://www.sephora.com/product/le-rouge-porter-whipped-lipstick-P395327?icid2=products%20grid:p395327:product,GIVENCHY,Le Rouge-À-Porter,P395327,4 stars,$37.00,6,79,18540,"['101 Nude Ultime', '102 Beige Mousseline', '103 Beige Plumetis', '201 Rose Aristocrate', '202 Rose Fantaisie', '203 Rose Avant-Garde']",https://www.sephora.com/productimages/sku/s1690049-main-Lhero.jpg,"['201 Rose Aristocrate', '103 Beige Plumetis', '202 Rose Fantaisie']"
257,https://www.sephora.com/product/color-balm-lipstick-P377701?icid2=products%20grid:p377701:product,STILA,Color Balm Lipstick,P377701,4 stars, ,1,486,23124,['Grayson sheer light grey'],https://www.sephora.com/productimages/sku/s1949411-main-Lhero.jpg,['Grayson sheer light grey']
258,https://www.sephora.com/product/shimmer-shock-lipstick-P412427?icid2=products%20grid:p412427:product,BUXOM,Shimmer Shock Lipstick,P412427,4.5 stars, ,1,52,12557,['Atomic Allure magenta flash'],https://www.sephora.com/productimages/sku/s1849306-main-Lhero.jpg,['Atomic Allure magenta flash']
259,https://www.sephora.com/product/lipstick-P400896?skuId=1753128&icid2=products%20grid:p400896:product,BLACK UP,Lipstick,P400896,4.5 stars, ,4,37,17932,"['M 20 satin shocking pink', '22 satin ultraviolet', 'RGE 34M matte vivid orange', 'RGE 38M matte tyrian purple']",https://www.sephora.com/productimages/sku/s1752997-main-Lhero.jpg,"['RGE 38M matte tyrian purple', 'M 20 satin shocking pink', '22 satin ultraviolet']"
260,https://www.sephora.com/product/mini-lip-pill-kit-P436016?icid2=products%20grid:p436016:product,WINKY LUX,Mini Lip Pill Kit,P436016,3.5 stars,$16.00,0,15,4776,[],https://www.sephora.com/productimages/sku/s2147551-main-Lhero.jpg, N/A 
261,https://www.sephora.com/product/color-splash-shade-shifting-lipstick-rainforest-the-sea-collection-P428281?skuId=2029577&icid2=products%20grid:p428281:product,TARTE,Color Splash Shade Shifting Lipstick - Rainforest of the Sea™ Collection,P428281,4.5 stars, ,1,94,22316,['Bodysurf sienna metallic'],, N/A 
262,https://www.sephora.com/product/lip-parfait-P398420?icid2=products%20grid:p398420:product,LAURA MERCIER,Lip Parfait Creamy Colourbalm,P398420,4 stars,$26.00,9,72,9877,"['Pink Grapefruit bluish pink', 'Juicy Papaya coral pink', 'Creamsicle popsicle orange', 'Sweet Guava melon pink', 'Red Velvet raspberry red ', 'Cherry On-Top bluish red', 'Cherries Jubilee bluish red', 'Iced Pomogranate deep berry', 'Tutti Frutti deep purple w/ light shimmer']",https://www.sephora.com/productimages/sku/s1733617-main-Lhero.jpg,"['Tutti Frutti deep purple w light shimmer', 'Sweet Guava melon pink', 'Juicy Papaya coral pink']"
263,https://www.sephora.com/product/theyre-real-double-lip-lipstick-liner-in-one-P416359?icid2=products%20grid:p416359:product,BENEFIT COSMETICS,They’re Real! Double The Lip Lipstick & Liner in One,P416359,3.5 stars,$20.00,10,114,16518,"['Bare Affair warm nude', 'Hotwired Pink rich pink', 'Racy Raspberry pink raspberry', 'Criminally Coral sandy coral', 'Lusty Rose rosy neutral', 'Revved-up Red cherry red', 'Flame Game fiery orange-red', 'Pink Thrills real pink', 'Fuchsia Fever electric pink', 'Juicy Berry very berry']",https://www.sephora.com/productimages/sku/s2031656-main-Lhero.jpg,"['Lusty Rose rosy neutral', 'Pink Thrills real pink', 'Juicy Berry very berry']"
264,https://www.sephora.com/product/purrfect-pout-lipstick-P440525?icid2=products%20grid:p440525:product,WINKY LUX,Purrfect Pout Lipstick,P440525,4.5 stars,$18.00,4,6,2102,"['Pawsh sheer nude', 'Fur-Ever sheer raspberry', 'Purrincess sheer bubblegum pink', 'Kiss & Tail sheer fuchsia']",https://www.sephora.com/productimages/sku/s2187235-main-Lhero.jpg,['Purrincess sheer bubblegum pink']
265,https://www.sephora.com/product/metallist-liquid-foil-lipstick-duo-P416137?icid2=products%20grid:p416137:product,TOUCH IN SOL,Metallist Liquid Foil Lipstick Duo,P416137,4 stars,$25.00,6,116,16000,"['Lola Gold', 'Maria Soft Brown', 'Zaza Bronze', 'Jasmine Brownie', 'Lucy Purple', 'Sophie Black Cherry']",https://www.sephora.com/productimages/sku/s1902303-main-Lhero.jpg,['Jasmine Brownie']
266,https://www.sephora.com/product/wonderful-cushion-matte-lip-cream-P407904?icid2=products%20grid:p407904:product,SEPHORA COLLECTION,Wonderful Cushion Matte Lip Cream,P407904,3.5 stars, ,2,244,22435,"['06 Wonderful Purple', '03 Wonderful Magenta']",https://www.sephora.com/productimages/sku/s1744432-main-Lhero.jpg,"['03 Wonderful Magenta', '06 Wonderful Purple']"
267,https://www.sephora.com/product/lip-plumping-persuasion-P416776?icid2=products%20grid:p416776:product,BUXOM,Lip Plumping Persuasion,P416776,3.5 stars,$18.00,1,13,7745,[''],https://www.sephora.com/productimages/sku/s1900414-main-Lhero.jpg, N/A 
268,https://www.sephora.com/product/prismatique-lips-P402704?icid2=products%20grid:p402704:product,SURRATT BEAUTY,Prismatique Lipstick,P402704,3.5 stars,$36.00,6,21,10418,"['Diamantée fiery white diamonds ', 'Lamé illuminating gold  ', 'Paillettes twinkling pink', 'Froufrou effervescent pink', 'Haute Monde flaming red', 'Café Société shimmering bronze ']",https://www.sephora.com/productimages/sku/s1760594-main-Lhero.jpg,"['Haute Monde flaming red', 'Paillettes twinkling pink']"
